area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo
1,10150,001101,028,02,1,1,6,5,5,2,1,2,2,2,1,1,4,2,2,2,2,2,5,4,5,5,5,2,2,4,5,2713,402.832297646525,010150001101,01015000110102802,010150001101028021,202210
1,10150,001101,028,03,1,1,1,2,2,2,1,2,1,1,1,1,4,1,1,2,2,2,5,5,4,5,5,5,5,5,5,2713,402.832297646525,010150001101,01015000110102803,010150001101028031,202210
1,10150,001101,028,04,1,1,1,2,2,1,2,2,2,2,2,1,3,1,2,2,2,2,5,5,5,5,5,2,2,4,4,2713,402.832297646525,010150001101,01015000110102804,010150001101028041,202210
1,10150,001101,028,06,1,1,6,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,5,5,4,5,5,2,2,5,5,2713,402.832297646525,010150001101,01015000110102806,010150001101028061,202210
1,10150,001101,028,08,1,1,6,5,5,1,2,2,1,2,1,1,5,2,2,2,2,2,5,5,5,5,5,2,5,5,5,2713,402.832297646525,010150001101,01015000110102808,010150001101028081,202210
1,10150,001101,028,09,1,3,1,1,2,2,2,2,2,2,1,1,4,1,2,2,2,2,5,5,4,5,5,2,1,4,4,2713,402.832297646525,010150001101,01015000110102809,010150001101028091,202210
1,10150,001101,028,10,1,3,6,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,5,5,4,5,5,2,5,5,5,2713,402.832297646525,010150001101,01015000110102810,010150001101028101,202210
1,10150,001701,028,01,1,3,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,5,3,5,5,5,1,1,3,3,2713,90.4264785348336,010150001701,01015000170102801,010150001701028011,202210
1,10150,001701,028,02,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,90.4264785348336,010150001701,01015000170102802,010150001701028021,202210
1,10150,001701,028,03,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,4,5,5,2713,90.4264785348336,010150001701,01015000170102803,010150001701028031,202210
1,10150,001701,028,06,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,4,5,5,5,5,4,5,5,2713,90.4264785348336,010150001701,01015000170102806,010150001701028061,202210
1,10150,001701,028,07,1,3,2,2,2,1,2,1,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,90.4264785348336,010150001701,01015000170102807,010150001701028071,202210
1,10150,001701,028,10,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,2,5,2,5,2,3,3,5,2713,90.4264785348336,010150001701,01015000170102810,010150001701028101,202210
1,10150,002301,013,01,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,4,5,5,5,3,2,1,2,2711,57.5675707472095,010150002301,01015000230101301,010150002301013011,202210
1,10150,002301,013,02,1,1,6,5,5,4,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,1,5,1,2711,57.5675707472095,010150002301,01015000230101302,010150002301013021,202210
1,10150,002301,013,03,1,1,1,5,5,1,2,2,2,2,2,2,3,2,2,2,2,2,5,99,1,5,5,1,1,1,4,2711,57.5675707472095,010150002301,01015000230101303,010150002301013031,202210
1,10150,002301,013,04,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,2,2711,57.5675707472095,010150002301,01015000230101304,010150002301013041,202210
1,10150,002301,013,05,1,3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2711,57.5675707472095,010150002301,01015000230101305,010150002301013051,202210
1,10150,002301,013,06,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,5,4,5,5,1,2,2,2,2711,57.5675707472095,010150002301,01015000230101306,010150002301013061,202210
1,10150,002301,013,09,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2711,57.5675707472095,010150002301,01015000230101309,010150002301013091,202210
1,10150,003203,028,01,1,3,1,2,2,2,1,2,1,2,1,1,4,1,2,2,2,2,5,5,5,5,5,1,1,5,5,2711,86.3784903364865,010150003203,01015000320302801,010150003203028011,202210
1,10150,003203,028,02,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,1,1,2711,86.3784903364865,010150003203,01015000320302802,010150003203028021,202210
1,10150,003203,028,03,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,5,5,1,3,4,4,2711,86.3784903364865,010150003203,01015000320302803,010150003203028031,202210
1,10150,003203,028,05,1,3,1,1,1,1,1,2,1,2,2,2,4,2,1,1,1,1,5,4,5,5,5,2,1,1,1,2711,86.3784903364865,010150003203,01015000320302805,010150003203028051,202210
1,10150,003203,028,06,1,3,1,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,5,4,5,5,5,1,1,5,5,2711,86.3784903364865,010150003203,01015000320302806,010150003203028061,202210
1,10150,003203,028,07,1,3,1,5,5,1,1,2,2,2,2,1,5,2,2,2,2,2,5,5,5,5,5,1,5,4,5,2711,86.3784903364865,010150003203,01015000320302807,010150003203028071,202210
1,10150,003203,028,09,1,3,1,1,1,1,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2711,86.3784903364865,010150003203,01015000320302809,010150003203028091,202210
1,10150,003806,025,01,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,5,5,4,3,5,4,5,2711,107.390405242472,010150003806,01015000380602501,010150003806025011,202210
1,10150,003806,025,02,1,3,1,2,2,2,1,2,2,2,1,2,3,2,1,2,2,1,4,4,3,3,3,5,3,3,2,2711,107.390405242472,010150003806,01015000380602502,010150003806025021,202210
1,10150,003806,025,03,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,1,5,5,2711,107.390405242472,010150003806,01015000380602503,010150003806025031,202210
1,10150,003806,025,04,1,3,1,4,4,1,2,2,2,2,1,2,4,2,2,1,2,2,2,4,4,4,3,3,3,4,3,2711,107.390405242472,010150003806,01015000380602504,010150003806025041,202210
1,10150,003806,025,05,1,3,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,3,2,1,2,3,4,5,2,3,2711,107.390405242472,010150003806,01015000380602505,010150003806025051,202210
1,10150,003806,025,06,1,3,1,4,1,1,1,2,2,2,1,2,1,2,1,2,2,2,3,3,4,4,4,3,4,3,3,2711,107.390405242472,010150003806,01015000380602506,010150003806025061,202210
1,10150,003806,025,07,1,3,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,4,3,3,3,3,4,2,2711,107.390405242472,010150003806,01015000380602507,010150003806025071,202210
1,10150,005103,025,01,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.843199996053,010150005103,01015000510302501,010150005103025011,202210
1,10150,005103,025,02,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.843199996053,010150005103,01015000510302502,010150005103025021,202210
1,10150,005103,025,03,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,5,5,5,5,1,1,1,1,2713,224.843199996053,010150005103,01015000510302503,010150005103025031,202210
1,10150,005103,025,04,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,1,2713,224.843199996053,010150005103,01015000510302504,010150005103025041,202210
1,10150,005103,025,05,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.843199996053,010150005103,01015000510302505,010150005103025051,202210
