area,ciudad,conglomerado,vivienda,hogar,estrato4,fexp4,sel,upm,id_hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p10,s101p111,s101p11111,s101p112,s101p11112,s101p113,s101p11113,s101p114,s101p11114,s101p115,s101p11115,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p127,s101p13,s101p141,s101p142,s101p143,s101p144,s101p151,s101p152,s101p153,s101p154,s101p155,s101p156,s101p157,s101p158,s101p159,s101p1510,s101p1511,s101p16,s101p161,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,S12P9,S12P13,S12P16,S12P16C,P1,NACIONAL,ciudad_num,P12,P14
2,170184,909202,05,1,3023,1776.490234375,1,170184909202,170184909202051,1,1,2,1,1,1,6,1,3,7,7,7,1,5,0,1,7,7,0,3,3,8,6,3,3,3,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,2,2,1,1,2, ,1, ,2, ,2, ,2, ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,3,3,3,3,3,4,4,4,1,1,1,1,1,1,170184,2,2
1,030450,005405,03,1,0312,330.985198974609,1,030450005405,030450005405031,1,1,1,1,1,1,3,1,1,1,1,1,1,16,0,1,20,20,20,1,3,3,3,3,3,3,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2, ,1,400,2, ,2, ,2, ,1,1,2,1,1,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,30450,1,2
2,180750,902901,05,1,1822,390.731506347656,1,180750902901,180750902901051,1,2,1,2,2,2,6,3,2,3,3,3,1,4,0,1,6,6,0,3,3,8,5,3,3,8,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,1,2, ,1,400,2, ,2, ,2, ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,1,3,3,3,1,1,1,1,1,1,180750,2,2
1,050150,010504,09,1,0512,162.877426147461,1,050150010504,050150010504091,2,1,1,2,2,1,3,1,1,8,8,1,1,4,0,1,5,3,2,3,8,8,8,3,1,8,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,3,4,1,1,2,1,2, ,1,350,2, ,2, ,2, ,2,2,1,2,1,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,4,5,1,1,3,2,2,3,1,1,1,1,1,1,50150,1,2
1,020550,000901,05,1,0212,93.3338241577148,1,020550000901,020550000901051,2,2,2,2,2,2,3,3,3,3,3,3,1,6,0,1,10,8,0,3,3,3,3,3,3,3,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,3,1,2,2,1,1,2, ,1,300,2, ,2, ,2, ,2,2,2,2,2,2,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,2,5,5,5,1,2,4,5,1,1,1,1,2,1,20550,1,2
1,100150,014103,05,1,1013,192.071762084961,1,100150014103,100150014103051,1,1,1,2,2,2,6,2,2,8,3,3,1,6,0,1,7,7,0,3,3,8,3,8,3,7,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,3,4,5,2,1,2, ,1,300,2, ,2, ,2, ,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,5,4,5,5,5,1,3,4,4,1,1,1,1,1,1,100150,1,1
1,150150,001306,01,1,1511,64.8931045532227,1,150150001306,150150001306011,1,1,1,1,2,2,6,1,2,7,8,8,2, , ,1,6,6,0,3,8,8,3,8,8,8,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,6,2,2,2,1,2, ,1,300,2, ,2, ,2, ,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,3,3,2,2,3,4,1,1,1,1,1,1,150150,1,2
1,160150,005704,15,1,1612,33.4903411865234,1,160150005704,160150005704151,2,2,2,2,2,2,3,3,3,3,3,3,1,6,0,1,10,10,0,7,8,8,3,3,3,8,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,3,1,1,1,1,1,2, ,1,300,2, ,2, ,2, ,2,2,1,2,2,1,1,4,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2, ,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,160150,1,2
2,160163,900601,03,1,1622,43.4043426513672,1,160163900601,160163900601031,1,2,2,2,2,2,6,3,3,8,8,8,2, , ,1,4,4,0,8,3,3,6,3,3,8,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,3,1,1,1,1,1,2, ,1,300,2, ,2, ,2, ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,4,4,4,4,4,2,4,4,4,1,2,1,1,1,1,160163,2,2
2,160164,900201,05,1,1621,62.4360084533691,1,160164900201,160164900201051,2,2,2,2,2,2,3,3,3,8,8,3,1,4,0,1,4,4,0,3,3,3,3,3,8,8,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,4,2,2,1,1,2, ,1,300,2, ,2, ,2, ,2,1,2,2,2,1,2,3,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,2, ,4,2,4,4,4,2,4,4,4,1,2,1,1,2,1,160164,1,2
1,200150,000014,05,1,2022,34.1453857421875,1,200150000014,200150000014051,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,7,7,0,1,1,8,1,1,1,8,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2, ,1,300,2, ,2, ,2, ,2,2,2,2,2,2,2,4,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,1,1,3,5,1,1,1,1,1,1,200150,2,1
